P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType,Did the conclusion follow with logical neccesity 
1,1,1,2583,1307,1322,2579,MP,Yes
1,2,8,2111,3481,2612,1977,DF,Yes
1,3,7,1541,2939,1147,1915,CF,No
1,4,6,2709,2513,2145,1387,ACF,No
1,5,5,1948,2250,1208,930,MPF,No
1,6,4,1628,1640,838,1194,DB,No
1,7,3,1281,1176,1142,866,CB,Yes
1,8,2,2917,1998,1689,373,AC,Yes
1,9,1,1467,1114,390,688,MP,Yes
1,10,8,674,1235,890,1204,DF,Yes
1,11,7,1264,1074,1692,2169,CF,No
1,12,6,2729,2259,1250,1053,ACF,No
1,13,5,2091,1709,1022,1002,MPF,No
1,14,4,2026,1414,1444,392,DB,No
1,15,3,1743,1967,581,348,CB,Yes
1,16,2,1249,1757,913,873,AC,Yes
1,17,1,2685,1214,752,315,MP,Yes
1,18,8,845,1747,1609,171,DF,Yes
1,19,7,1756,1396,820,1475,CF,No
1,20,6,3509,6725,2393,1121,ACF,No
1,21,5,1919,951,1326,258,MPF,No
1,22,4,1200,1237,794,545,DB,No
1,23,3,819,1339,1392,259,CB,Yes
1,24,2,1700,1367,385,565,AC,Yes
1,25,1,1197,1769,383,199,MP,Yes
1,26,8,954,1557,1437,652,DF,Yes
1,27,7,2255,1808,1508,2845,CF,No
1,28,6,2604,2873,1529,524,ACF,No
1,29,5,602,2227,692,1029,MPF,No
1,30,4,1762,2743,2443,270,DB,No
1,31,3,2652,2587,458,401,CB,Yes
1,32,2,1920,4386,5227,1930,AC,Yes
2,1,2,1227,1096,426,664,AC,Yes
2,2,1,941,706,980,961,MP,Yes
2,3,8,3114,1384,1230,1693,DF,Yes
2,4,7,1011,1092,878,1033,CF,No
2,5,6,1538,1452,1134,1647,ACF,No
2,6,5,918,1056,1943,1408,MPF,No
2,7,4,1086,691,962,999,DB,Yes
2,8,3,675,448,389,421,CB,Yes
2,9,2,1444,2132,1410,1781,AC,Yes
2,10,1,911,662,,478,MP,Yes
2,11,8,2581,6185,3797,5696,DF,No
2,12,7,1254,1839,2163,3695,CF,Yes
2,13,6,3327,3786,1072,1477,ACF,No
2,14,5,3226,3300,676,1836,MPF,Yes
2,15,4,709,1000,302,621,DB,No
2,16,3,518,342,700,262,CB,Yes
2,17,2,560,752,926,282,AC,Yes
2,18,1,1216,875,441,474,MP,Yes
2,19,8,2292,3895,2137,877,DF,No
2,20,7,671,587,622,479,CF,No
2,21,6,1267,1559,991,601,ACF,No
2,22,5,1075,1225,1306,679,MPF,No
2,23,4,1268,785,819,593,DB,No
2,24,3,1221,536,1204,448,CB,Yes
2,25,2,805,719,386,649,AC,Yes
2,26,1,790,1447,1107,430,MP,Yes
2,27,8,622,1735,1173,1234,DF,No
2,28,7,916,1422,603,685,CF,No
2,29,6,2281,1561,1383,2020,ACF,No
2,30,5,2763,3531,3553,3574,MPF,No
2,31,4,1197,2148,1028,1542,DB,No
2,32,3,742,601,855,977,CB,Yes
3,1,3,1060,767,849,478,CB,Yes
3,2,2,871,752,918,696,AC,Yes
3,3,1,1516,1267,1378,1437,MP,Yes
3,4,8,455,766,1751,879,DF,Yes
3,5,7,663,1179,621,193,CF,No
3,6,6,475,1445,1513,1574,ACF,No
3,7,5,1274,1468,1395,869,MPF,No
3,8,4,752,1363,882,762,DB,No
3,9,3,1280,706,707,978,CB,Yes
3,10,2,730,1129,1006,701,AC,Yes
3,11,1,769,988,404,373,MP,Yes
3,12,8,305,531,696,331,DF,Yes
3,13,7,2138,3597,2015,1224,CF,Yes
3,14,6,542,1415,1546,1804,ACF,No
3,15,5,1740,1209,867,1040,MPF,No
3,16,4,495,1306,886,1381,DB,No
3,17,3,637,1720,450,410,CB,Yes
3,18,2,1577,1507,602,1101,AC,Yes
3,19,1,879,866,1131,699,MP,Yes
3,20,8,1473,942,2708,398,DF,Yes
3,21,7,2027,2384,1038,1204,CF,Yes
3,22,6,1471,2039,938,1545,ACF,No
3,23,5,2492,1818,2100,691,MPF,No
3,24,4,624,741,1041,253,DB,No
3,25,3,520,569,677,705,CB,Yes
3,26,2,121,1003,525,740,AC,Yes
3,27,1,600,508,1245,686,MP,Yes
3,28,8,931,1524,1150,1097,DF,Yes
3,29,7,1786,1341,1119,813,CF,Yes
3,30,6,704,2148,1930,1016,ACF,No
3,31,5,1152,1039,531,461,MPF,No
3,32,4,683,1794,1568,1421,DB,No
4,1,4,335,720,481,,DB,No
4,2,3,591,1194,915,345,CB,Yes
4,3,2,535,1164,479,,AC,Yes
4,4,1,1267,1160,1038,329,MP,Yes
4,5,8,462,2185,1024,325,DF,Yes
4,6,7,275,415,758,169,CF,No
4,7,6,1095,868,752,,ACF,No
4,8,5,946,673,550,811,MPF,No
4,9,4,862,940,1228,799,DB,No
4,10,3,402,835,343,188,CB,Yes
4,11,2,1769,2071,3651,929,AC,Yes
4,12,1,2984,8317,4330,4295,MP,Yes
4,13,8,906,2282,2255,1178,DF,Yes
4,14,7,463,485,554,368,CF,No
4,15,6,741,1183,709,1518,ACF,No
4,16,5,2331,1065,819,975,MPF,No
4,17,4,296,1698,714,,DB,No
4,18,3,416,845,943,124,CB,Yes
4,19,2,957,1007,813,250,AC,Yes
4,20,1,587,655,925,,MP,Yes
4,21,8,827,732,1119,,DF,Yes
4,22,7,1167,1709,1701,137,CF,No
4,23,6,936,816,1172,650,ACF,No
4,24,5,727,370,746,,MPF,No
4,25,4,552,599,879,643,DB,No
4,26,3,535,918,704,466,CB,Yes
4,27,2,733,1745,524,316,AC,Yes
4,28,1,2034,1686,1856,268,MP,Yes
4,29,8,713,479,1175,108,DF,No
4,30,7,402,822,391,1349,CF,No
4,31,6,2515,2640,655,660,ACF,No
4,32,5,1077,906,787,,MPF,No
5,1,5,270,664,995,879,MPF,No
5,2,4,2086,2161,801,2490,DB,No
5,3,3,1255,1356,467,1924,CB,Yes
5,4,2,1301,1352,1527,685,AC,No
5,5,1,1869,1575,2017,561,MP,Yes
5,6,8,2861,3738,3167,13623,DF,Yes
5,7,7,1294,3910,2375,1887,CF,No
5,8,6,1166,1458,1080,581,ACF,No
5,9,5,2320,3192,1097,1551,MPF,No
5,10,4,1362,2495,1623,1897,DB,No
5,11,3,1933,1962,1070,1206,CB,Yes
5,12,2,543,2536,1672,3981,AC,No
5,13,1,1810,1939,1199,445,MP,Yes
5,14,8,517,3223,1175,460,DF,Yes
5,15,7,910,3719,1446,439,CF,No
5,16,6,1924,1298,571,1751,ACF,No
5,17,5,3062,3526,907,1083,MPF,No
5,18,4,2334,3413,1482,958,DB,No
5,19,3,897,1573,504,512,CB,Yes
5,20,2,2681,2740,1947,1734,AC,No
5,21,1,1727,1990,538,1263,MP,Yes
5,22,8,1295,2763,3896,2822,DF,Yes
5,23,7,963,2844,935,670,CF,No
5,24,6,1122,2342,2007,560,ACF,No
5,25,5,2864,4401,1674,1446,MPF,No
5,26,4,2109,2574,612,1610,DB,No
5,27,3,1424,2098,999,386,CB,Yes
5,28,2,3226,3602,4659,4261,AC,No
5,29,1,2267,1961,1573,1250,MP,Yes
5,30,8,2436,1579,1290,913,DF,Yes
5,31,7,1449,2407,1469,447,CF,No
5,32,6,1064,2363,984,818,ACF,No
6,1,6,2875,2139,280,1176,ACF,No
6,2,5,2364,3773,2223,1718,MPF,No
6,3,4,3051,3941,3047,189,DB,No
6,4,3,1051,3056,2299,434,CB,Yes
6,5,2,1831,3858,3297,1855,AC,Yes
6,6,1,1566,1620,1322,2227,MP,Yes
6,7,8,4178,6434,5192,446,DF,No
6,8,7,1967,3110,1910,938,CF,No
6,9,6,4064,2820,3792,2798,ACF,No
6,10,5,1602,2166,553,,MPF,No
6,11,4,2772,3515,1309,374,DB,No
6,12,3,1715,2769,1020,1118,CB,Yes
6,13,2,2819,3904,1477,1155,AC,Yes
6,14,1,1798,1842,864,1368,MP,Yes
6,15,8,1831,2895,2817,1235,DF,Yes
6,16,7,3088,5547,3205,2680,CF,No
6,17,6,2258,2113,1484,1070,ACF,No
6,18,5,1216,2281,530,673,MPF,No
6,19,4,1507,1786,1248,771,DB,Yes
6,20,3,1928,2127,1119,617,CB,Yes
6,21,2,2163,3679,1401,983,AC,Yes
6,22,1,1628,2070,1966,1047,MP,Yes
6,23,8,2614,3043,688,2097,DF,Yes
6,24,7,1638,3400,1249,2348,CF,No
6,25,6,1047,2804,776,507,ACF,No
6,26,5,2382,3704,1848,1734,MPF,No
6,27,4,1705,4676,1449,939,DB,No
6,28,3,3213,4920,4103,1736,CB,Yes
6,29,2,1683,2634,1994,427,AC,Yes
6,30,1,3936,2099,1690,1698,MP,Yes
6,31,8,2007,3974,4167,5012,DF,No
6,32,7,3428,2912,342,194,CF,No
7,1,7,2707,674,1066,245,CF,No
7,2,6,3605,1204,708,,ACF,No
7,3,5,3554,3865,193,,MPF,No
7,4,4,3996,2664,1352,614,DB,No
7,5,3,1038,1248,1453,585,CB,Yes
7,6,2,4388,4458,515,250,AC,Yes
7,7,1,3339,828,535,361,MP,Yes
7,8,8,2279,2829,2759,638,DF,Yes
7,9,7,4216,2434,3632,1368,CF,No
7,10,6,6640,4469,8542,1790,ACF,No
7,11,5,3648,1084,1048,301,MPF,No
7,12,4,3417,2015,2010,462,DB,No
7,13,3,1388,1800,909,,CB,Yes
7,14,2,3557,4800,2232,,AC,Yes
7,15,1,8733,5425,3878,1446,MP,Yes
7,16,8,223,1707,685,688,DF,Yes
7,17,7,2798,1496,1016,,CF,No
7,18,6,4036,5954,1600,1958,ACF,No
7,19,5,4031,4536,2597,1014,MPF,No
7,20,4,5024,3541,3898,2516,DB,No
7,21,3,1587,957,1084,327,CB,Yes
7,22,2,1338,711,1132,,AC,Yes
7,23,1,4485,835,615,277,MP,Yes
7,24,8,3766,2661,2528,1291,DF,Yes
7,25,7,3565,1855,1860,278,CF,No
7,26,6,3376,1317,1676,927,ACF,No
7,27,5,4256,1215,1509,404,MPF,No
7,28,4,5060,5596,3953,3438,DB,Yes
7,29,3,8664,1465,769,931,CB,Yes
7,30,2,4550,3310,2306,172,AC,Yes
7,31,1,6909,4425,4445,3979,MP,Yes
7,32,8,7157,3016,1031,801,DF,Yes
8,1,8,1298,1330,815,599,DF,No
8,2,7,2347,1727,1152,1245,CF,Yes
8,3,6,411,791,876,1293,ACF,No
8,4,5,1443,1895,722,1430,MPF,No
8,5,4,975,507,876,985,DB,No
8,6,3,1018,1470,429,393,CB,Yes
8,7,2,1326,1166,715,895,AC,Yes
8,8,1,1796,742,369,597,MP,Yes
8,9,8,1161,1392,526,1109,DF,Yes
8,10,7,1891,673,476,1343,CF,Yes
8,11,6,1758,1388,1094,1409,ACF,No
8,12,5,4426,4334,1063,1540,MPF,No
8,13,4,1267,866,638,940,DB,Yes
8,14,3,926,1242,408,318,CB,Yes
8,15,2,548,878,663,661,AC,Yes
8,16,1,824,734,332,564,MP,Yes
8,17,8,2552,1833,876,959,DF,Yes
8,18,7,5589,2501,809,696,CF,Yes
8,19,6,9564,8115,3637,3599,ACF,No
8,20,5,2765,2700,686,493,MPF,No
8,21,4,1024,510,432,1125,DB,No
8,22,3,734,530,422,706,CB,Yes
8,23,2,1641,874,656,1063,AC,Yes
8,24,1,1174,1390,489,800,MP,Yes
8,25,8,874,1173,442,860,DF,Yes
8,26,7,677,1337,837,1974,CF,Yes
8,27,6,542,792,522,1145,ACF,No
8,28,5,2586,2131,1345,523,MPF,No
8,29,4,1328,535,627,2725,DB,No
8,30,3,1580,463,375,690,CB,Yes
8,31,2,2166,1977,1186,465,AC,Yes
8,32,1,469,621,456,643,MP,Yes
9,1,1,595,1066,527,477,MP,Yes
9,2,8,1469,1040,728,702,DF,Yes
